id;name;price;img;img_content_type;description
1;withdrawal;80987;../fake-data/blob/hipster.png;image/png;Metal
2;Parks clicks-and-mortar;76357;../fake-data/blob/hipster.png;image/png;Executive
3;implementation Bulgarian Lev New York;89892;../fake-data/blob/hipster.png;image/png;Movies
4;intuitive;41106;../fake-data/blob/hipster.png;image/png;transmitting Intranet Intelligent Wooden Hat
5;Rustic;39532;../fake-data/blob/hipster.png;image/png;Designer
6;Leone Chicken SCSI;46988;../fake-data/blob/hipster.png;image/png;Roads indexing backing up
7;Bacon;51626;../fake-data/blob/hipster.png;image/png;Cambridgeshire
8;deliver neural bi-directional;96670;../fake-data/blob/hipster.png;image/png;Fully-configurable
9;Dominican Peso;8799;../fake-data/blob/hipster.png;image/png;technologies Spurs Russian Federation
10;multi-byte Solutions;51697;../fake-data/blob/hipster.png;image/png;generating Palau Buckinghamshire
